Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100N 25V","3216-18",84.300000,-66.300000,135.000000,top
"D1","SOD4007","SOD-123F",75.500000,-65.600000,45.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",89.001600,-49.682400,0.000000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1mm",71.079200,-67.614800,0.000000,top
"FID3","Fiducial","Fiducial_0.5mm_Mask1mm",87.985600,-68.478400,0.000000,top
"J1","BM04B-SRSS-TBT","BM04B",87.543600,-59.100000,90.000000,top
"Q1","STN4NF20L","SOT-223",73.141384,-53.016384,45.000000,top
"R1","160","0603R",73.406000,-63.652400,45.000000,top
"R2","100K","0603R",72.110600,-62.306200,45.000000,top
"U1","250X15W104MV4E","0805C",85.900000,-64.500000,-45.000000,top